Store,IsHoliday,Dept,Weekly_Sales,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Unemployment,Type,Size,Year,Week,Next week,Next week predictions
42,0,11,1364.03,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,1,1202.03,1146.4195000000002
42,0,11,1202.03,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,2,668.9,1028.0102000000009
42,0,11,668.9,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,3,838.24,943.4638000000009
42,0,11,838.24,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,4,1738.4,893.7230999999996
42,0,11,1738.4,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,5,1339.47,1029.2375000000002
42,1,11,1339.47,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,6,841.79,1147.1053999999997
42,0,11,841.79,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,7,954.46,894.4158999999996
42,0,11,954.46,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,8,804.78,1092.3991999999998
42,0,11,804.78,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,9,773.27,893.6186999999995
42,0,11,773.27,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,10,1186.71,888.0304999999992
42,0,11,1186.71,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,11,889.69,1092.6808000000005
42,0,11,889.69,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,12,885.95,844.4184000000002
42,0,11,885.95,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,13,947.25,852.9063000000002
42,0,11,947.25,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,14,621.95,1077.8565
42,0,11,621.95,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,15,890.27,961.1985000000006
42,0,11,890.27,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,16,777.04,847.0511000000001
42,0,11,777.04,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,17,933.52,872.8800999999991
42,0,11,933.52,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,18,664.4,883.8430000000002
42,0,11,664.4,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,19,691.68,964.7864000000004
42,0,11,691.68,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,20,719.85,967.2472000000005
42,0,11,719.85,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,21,855.77,1059.6838999999989
42,0,11,855.77,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,22,975.73,884.7340999999996
42,0,11,975.73,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,23,1028.01,1077.6807999999996
42,0,11,1028.01,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,24,993.36,1036.2643000000003
42,0,11,993.36,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,25,1374.95,1091.6839999999995
42,0,11,1374.95,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,26,1162.28,1114.1217
42,0,11,1162.28,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,27,948.59,1154.3452000000004
42,0,11,948.59,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,28,1103.33,1206.9105000000002
42,0,11,1103.33,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,29,822.55,1110.5022000000004
42,0,11,822.55,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,30,1078.49,880.506399999999
