Store,IsHoliday,Dept,Weekly_Sales,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,Unemployment,Type,Size,Year,Week,Next week,Next week predictions
42,0,1,8836.0,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,1,9574.86,10598.286400000006
42,0,1,9574.86,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,2,9650.22,11517.097600000003
42,0,1,9650.22,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,3,8429.44,11495.241200000004
42,0,1,8429.44,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,4,10674.88,10598.011800000002
42,0,1,10674.88,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,5,13437.56,13798.7215
42,1,1,13437.56,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,6,14225.85,12541.731599999994
42,0,1,14225.85,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,7,9109.41,13092.6717
42,0,1,9109.41,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,8,9319.25,10130.473200000002
42,0,1,9319.25,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,9,9261.21,10727.7576
42,0,1,9261.21,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,10,9568.66,10713.196900000003
42,0,1,9568.66,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,11,9561.2,10672.526900000004
42,0,1,9561.2,0.0,0.0,0.0,0.0,0.0,8.744,1,39690,2011,12,9304.03,11082.603500000001
42,0,1,9304.03,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,13,11763.04,11089.449400000001
42,0,1,11763.04,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,14,13234.04,12298.310899999991
42,0,1,13234.04,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,15,16885.84,11809.028499999997
42,0,1,16885.84,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,16,15939.08,10754.72250000001
42,0,1,15939.08,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,17,9464.17,11932.121900000011
42,0,1,9464.17,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,18,9631.49,10447.636100000005
42,0,1,9631.49,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,19,8770.25,10160.40570000001
42,0,1,8770.25,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,20,9021.05,9048.207100000009
42,0,1,9021.05,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,21,9004.52,9694.245300000008
42,0,1,9004.52,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,22,9408.68,9715.077200000007
42,0,1,9408.68,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,23,8472.14,10142.9133
42,0,1,8472.14,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,24,8533.29,8768.9448
42,0,1,8533.29,0.0,0.0,0.0,0.0,0.0,8.494,1,39690,2011,25,7998.18,8848.007799999996
42,0,1,7998.18,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,26,9210.18,8845.513899999993
42,0,1,9210.18,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,27,8897.68,9802.380000000005
42,0,1,8897.68,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,28,8605.74,9298.810200000005
42,0,1,8605.74,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,29,8083.07,8845.932199999988
42,0,1,8083.07,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,30,8695.1,8780.33579999999
42,0,1,8695.1,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,31,9079.12,8991.498300000005
42,0,1,9079.12,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,32,8426.04,9060.480100000004
42,0,1,8426.04,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,33,8129.51,8721.171799999996
42,0,1,8129.51,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,34,8931.17,9325.256299999994
42,0,1,8931.17,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,35,8924.66,9511.349100000003
42,1,1,8924.66,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,36,9576.58,9479.7765
42,0,1,9576.58,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,37,9895.22,10019.865900000013
42,0,1,9895.22,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,38,8970.07,10602.397400000005
42,0,1,8970.07,0.0,0.0,0.0,0.0,0.0,8.257,1,39690,2011,39,11803.51,9728.5479
42,0,1,11803.51,0.0,0.0,0.0,0.0,0.0,7.874,1,39690,2011,40,11979.27,12187.001599999987
42,0,1,11979.27,0.0,0.0,0.0,0.0,0.0,7.874,1,39690,2011,41,10826.88,12926.16609999999
42,0,1,10826.88,0.0,0.0,0.0,0.0,0.0,7.874,1,39690,2011,42,13620.98,13101.065299999991
42,0,1,13620.98,0.0,0.0,0.0,0.0,0.0,7.874,1,39690,2011,43,20988.96,13343.72329999999
42,0,1,20988.96,0.0,0.0,0.0,0.0,0.0,7.874,1,39690,2011,44,9975.7,10173.08360000002
42,0,1,9975.7,25.73,274.85,14.74,0.0,2885.55,7.874,1,39690,2011,45,9909.5,11217.995400000003
42,0,1,9909.5,2544.26,12.31,2.02,0.0,3385.15,7.874,1,39690,2011,46,9105.65,11295.1877
42,1,1,9105.65,25.8,0.0,4.7,0.0,1932.72,7.874,1,39690,2011,47,9767.97,9717.96349999999
42,0,1,9767.97,24.09,0.0,4.7,0.0,1016.84,7.874,1,39690,2011,48,11647.8,12032.820099999997
42,0,1,11647.8,31.2,0.0,21.31,0.0,1872.37,7.874,1,39690,2011,49,13832.72,12721.584299999995
42,0,1,13832.72,2.42,0.0,31.33,0.0,675.78,7.874,1,39690,2011,50,14135.12,12759.234799999987
42,0,1,14135.12,103.5,0.0,19.63,0.0,939.49,7.874,1,39690,2011,51,8980.62,11466.454799999996
42,1,1,8980.62,242.41,1447.26,3.64,183.96,459.06,7.874,1,39690,2011,52,8636.25,9961.689199999995
